id,lat,lng,status,summary,rating,description,created_at,updated_at,acknowledged_at,closed_at
1558536,45.01304175,-93.02083126,Open,matress trash,,1,2015-03-28T14:49:25-04:00,2015-03-28T14:49:25-04:00,,
1558535,38.9727884261114,-77.0639433349382,Open,Sidewalk Repair,i submitted many tickets related to that. need to repair asap. plant a tree. plant bushes around.,1,2015-03-28T14:49:16-04:00,2015-03-28T14:49:16-04:00,,
1558534,45.0013217983195,-93.3054406249086,Open,Parking Violation,,1,2015-03-28T14:49:11-04:00,2015-03-28T14:49:11-04:00,,
1558533,42.214733,-83.2534828,Open,Pot Holes,Broken cement with pot hole on southbound Pardee Rd @ Northline ,1,2015-03-28T14:49:10-04:00,2015-03-28T14:49:10-04:00,,
1558528,38.9757995605469,-77.0663070678711,Open,Tree Removal,tree is deformed and should be removed. car ran thru it several months ago,1,2015-03-28T14:46:56-04:00,2015-03-28T14:46:56-04:00,,
1558527,35.0865287780762,-106.604248046875,Open,Other,Panhandle in residential neighborhood ,1,2015-03-28T14:46:46-04:00,2015-03-28T14:46:46-04:00,,
1558526,45.012180684705,-93.3043587952852,Open,Pothole,,1,2015-03-28T14:46:37-04:00,2015-03-28T14:46:37-04:00,,
1558525,30.5675482524496,-83.8514360601624,Open,Dirt Road Build Up,Crepe Myrtle Lane is eroding and needs build up. Crepe Myrtle lane is not maintained by the Hunter Ridge subdivision. ,1,2015-03-28T14:43:44-04:00,2015-03-28T14:43:44-04:00,,
1558524,27.7887378546964,-82.6494763033382,Open,Sanitation Department,,1,2015-03-28T14:43:31-04:00,2015-03-28T14:43:31-04:00,,
1558523,41.1263430478916,-74.0860262294998,Open,"Lots of litter in vacant lot (before 112 College Rd, northbound)",,1,2015-03-28T14:42:14-04:00,2015-03-28T14:42:54-04:00,,
1558522,38.900805523109,-76.9907903906747,Open,Alley Cleaning,Lots of trash please clean alley ,2,2015-03-28T14:42:11-04:00,2015-03-28T14:42:24-04:00,,
1558521,27.788083520788,-82.6492101144421,Open,Sanitation Department,,1,2015-03-28T14:41:47-04:00,2015-03-28T14:41:47-04:00,,
1558520,38.900749206543,-76.9910583496094,Open,Parking Enforcement,Parked in rear blocking me from parking the zip car ,1,2015-03-28T14:41:09-04:00,2015-03-28T14:41:09-04:00,,
